City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,port alfred,-33.5906,26.891,17.91,52,0,4.78,ZA,1718057640
146,tura,25.5198,90.2201,25.2,95,11,3.15,IN,1718057899
147,kruisfontein,-34.0033,24.7314,12.16,49,39,3.15,ZA,1718057976
148,nar'yan-mar,67.6713,53.087,3.39,88,8,3.58,RU,1718057855
149,uturoa,-16.7333,-151.4333,25.68,76,67,9.13,PF,1718057852
150,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,1.95,RU,1718057879
151,invercargill,-46.4,168.35,5.01,93,81,4.47,NZ,1718057843
152,ulsteinvik,62.3432,5.8487,11.53,91,100,4.02,NO,1718057977
153,aasiaat,68.7098,-52.8699,0.96,76,34,4.99,GL,1718057856
154,molchanovo,57.5817,83.7692,10.45,94,1,1.31,RU,1718057977
155,songea,-10.6833,35.65,13.59,79,41,1.85,TZ,1718057977
156,thompson,55.7435,-97.8558,21.28,34,100,2.33,CA,1718057837
157,cannonvale,-20.2833,148.7,20.66,63,88,4.16,AU,1718057978
158,tukrah,32.5341,20.5791,26.42,35,1,1.99,LY,1718057978
159,qaqortoq,60.7167,-46.0333,8.7,76,100,5.16,GL,1718057834
160,sambava,-14.2667,50.1667,20.91,82,6,3.9,MG,1718057978
161,leava,-14.3,-178.1667,27.63,74,48,6.76,WF,1718057712
162,longyearbyen,78.2186,15.6401,5.91,65,0,1.03,SJ,1718057859
163,fale old settlement,-9.3852,-171.2468,29.11,75,56,7.23,TK,1718057858
164,sinabang,2.4803,96.3801,26.31,86,99,2.06,ID,1718057842
165,ciudad melchor muzquiz,27.8833,-101.5167,37.98,37,0,5.53,MX,1718057979
166,beboto,8.2668,16.939,22.45,90,85,0.15,TD,1718057979
167,khadan khak,30.7477,67.7085,21.38,12,2,3.44,PK,1718057979
168,undurkhaan,47.3194,110.6556,14.69,77,26,0.54,MN,1718057979
169,hovd,48.0056,91.6419,18.61,44,39,1.99,MN,1718057979
170,el haouaria,37.05,11.0144,22.01,78,34,1.28,TN,1718057980
171,muroto-misakicho,33.2833,134.15,21.61,80,69,2.0,JP,1718057980
172,lautoka,-17.6167,177.4667,26.92,61,20,2.57,FJ,1718057882
173,ta`u,-14.2336,-169.5144,27.05,78,60,9.65,AS,1718057890
174,kyzyl-mazhalyk,51.1333,90.6,18.28,55,100,0.89,RU,1718057980
175,ilovlya,49.3033,43.9796,18.59,79,38,2.76,RU,1718057980
176,saipan,15.1355,145.701,28.39,83,75,4.63,MP,1718057837
177,cabedelo,-6.9811,-34.8339,25.37,79,22,6.2,BR,1718057980
178,juneau,58.3019,-134.4197,12.0,91,100,6.69,US,1718057981
179,botoroaga,44.1483,25.5447,22.65,72,84,1.87,RO,1718057981
180,zouerate,22.7187,-12.4521,30.29,23,100,7.95,MR,1718057845
181,pisco,-13.7,-76.2167,18.03,82,20,4.12,PE,1718057642
182,birmitrapur,22.4,84.7667,31.23,39,17,0.54,IN,1718057981
183,chakia,26.4167,85.05,30.3,64,2,5.49,IN,1718057981
